,c1
3107,its heartless soulless
3108,acknowledges difficulty comic potential arrangement
3109,this funnybutforgettable loses way somewhere stowing carryon returning tray tables locked position
3110,smothers already frail story characters longdistance relationship rrated grossout humor half dozen judd apatow  except virtually n funny
3111,this empty
3112,whoever thought could mix gross toilethumor endless vulgarity romance big injustice otherwise likeable lead stars
3113,whats refreshing problematic theres emotional imbalance boy girl feelings mutual obstacle purely geographical
3114,raunchy romcom surprisingly authentic emotions hilariously obscene
3115,while mostly avoids romcom clichés grownup al sex frankly
3116,reason root reunion end unromantic romp jerks really serve other
3117,absolutely infuriating worst year
3118,what watching manically dreary
3119,not 
3120,sort wind rooting spite characters somewhat knuckleheadish
3121,unfortunately
3122, stars warm chemistry
3123,feminine fantasies berlanti seemingly seeks stoke unrcut vibe thats weirdly misogynistic
3124,its difficult sound like bitter heterosexual man writing pan odious picture
3125,sorry state affairs katherine heigl closest approximation screwballready actor contemporary mainstream offer
3126,its horrible
3127,this crap know
3128,goo goo gag gag
3129,in case seen katherine heigl play uptight
3130,pity poor kid stuck house like that pity
3131,heiglduhamel hostilities persuasive entire balls shrill domestic nightmare
3132,this exercise cynical formulaic construction avoid
3133,sometimes suspect secret highss contest hollywood among rs try come  single original ia
3134,i nearly sobbed funeral scene
3135,title becomes pressingly selffulfilling prophecy life come know it
3136,only intermittently irritating especially opening ten minutes
3137,im sucker babies
3138,if thought could get following killers ugly truth
3139,its terrible ined
3140,waste time
3141,cloying times annoying
3142,cue babybased farce romcom clichs eat
3143, efforts add gravity lightweight genre via pictions grief parenting doubts come glib disingenuous
3144,truly loathed second life know it
3145, sounds worse
3146,would  director greg berlanti animate corpse 
3147, viates romantic comedy guibook livers exactly would expect
3148,the leads attractive im constantly irritated characters heigl s
3149, promises absolute car wreck
3150,life know studio making fear it
3151,but given supporting characters 
3152,doubt going end up course dont
3153,sick exercise darkness humanity violence bring us brink of
3154,an aboveaverage horror flick
3155,is world ready columbineinspired horror crass
3156,writerdirector adam green crafted potent combination absolute terror compelling human drama stick long left theatre turned dvd
3157,frozen quite simply terrifying skiing jaws swimming
3158,three dull story might spark tension green strand three strangers aloft frozen chairlift
3159,calm jad
3160,greens minimalist setting conflict put microscope contrivances
3161,the excess conversation succeeds humor
3162,seriously doubt cavalierly ski lift ever again
3163, consists petty bickering characters screenwriterdirector adam greens dialogue scenes awful
3164,frozen work cut
3165,frozen proves need serial killers supernatural shocks keep us entertained man vs mother nature suffice
3166,a stuck chairlift exert primal terror roiling sea
3167,in moments and characters paralyzed cisions
3168,another date horror flick signed scare tentative couples others arms
3169,performances passes dialogue mostly extend bickering screaming lackluster hard care fate trio long
3170,green ably creates tension expected inevitable consequencesforcing audience imagine difficult would survive
3171,adam greens frozen explores tiny ia exhaustively
3172,threesomes constant conversation amid building unease helps establish characters audience intify
3173,audience characters stuck chairs waiting waiting waiting and
3174,taut tense
3175,amount preposterous coincinces lead precarious predicament three muppets continued suffering also robs frozen remote credibility
3176,adam greens fun horror hatchet revelled art selfaware pastiche
3177,there moments true terror fair dollop tension
3178, fascinating midpoint revelation
3179,sometimes forget documentary rs begin project
3180,problem familydiary documentaries families drama 
3181,exceptional that helps illuminate often painful experience people trying move dark personal family pasts
3182,prodigal sons crazily overstuffed material
3183,a shocking moving family portrait
3184,stirring thought provoking
3185,the ghost writer reminr
3186,the ghost writer smartly written poke notion miss big stories right open
3187,as tension paranoia mount
3188,squanred opportunity reallife crimes iraq war create genuine tension suspense
3189, dangers human curiosity political thriller morallydriven hero moments prove shocking closing scene
3190,the ghost writer polanskis worst that would the ninth gate
3191,polanski a knack taking pulp transforming tense
3192,the ghost writer
3193,creates wondrous sense tension half seen
3194,likely drawn sleek elegance al forget mysterious unrpinnings
3195,if ghost writer fatal flaw
3196, although locations suspect
3197,the ghost writer
3198,another director would almost certainly bobbled vilish mixture paperback suspense
3199,odd latest  worlds est living rs adaptations sellers set islands coast massachusetts disappointing
3200,in world genre over ath
3201,the result political thriller refreshingly long grownup dialogue yet lamentably shy
3202,tthe actors intimidated polanskis reputation baffled listless script almost n impression all
3203,ghost writer could disappointing career capper wheels justice finally start rolling
3204,subtle visual stunner awash creeping paranoia anxiety
3205,polanski expert keeping audience guessing turning screws maximum tension
3206,welcome ministry fear
3207,the ghost writer equal parts pulp political thriller
3208,suspicion insinuation seep nearly frame
3209,there number loose ends tied character motivations add up theless
3210,thread black humour runs throughout compensates occasional moments madness silly n adly seriously
3211,problems polanskis life perhaps unserved still turn gripping 
3212,contains series fundamentally dispiriting moments seemingly insulated criticism polanski brand
3213,loses direction harris rage channelled clunky plot velopments
3214,an aggressive extreme seductress brink nearly raping gullible ghost
3215,with ghost writer
3216,lazily plotted performed political snoozer disappointing ive seen year
3217,filled intrigue tension roman polanski uses skills bring together elements hit suspense
3218,this effort joins directors frantic jetlag category mind body quite catch new
3219,polanski excellent job evoking increasing sense paranoia danger
3220,an oftentense affair comes right amount cynicism
3221,would put narrative conceit ghost writer perpetrates final moments past doped high school sophomore screenwriting elective
3222,polanskis master carefully drawing cold gray place wrong
3223,the ghost writer tense
3224,total context polanskis hard life grim orals ghost writer constitutes miracle artistic psychological resilience
3225,if repulsed general ultraviolence horror aspects
3226,the goes completely insane
3227,cliches abound frantically edited fights
3228,repo men joyless experiment stupefaction like pornography
3229,this cast
3230,theres key organ missing itself brain place memory bank
3231,a bewilringly awful concoction seems written committee whose individual members forbidn contact another seem ignorant rudimentary fundamentals storytelling
3232,aggressive testosterfueled ri fetishizes violence weapons attempt prove ass cred
3233,unr uncertain direction miguel sapochnik
3234,hard completely dislike many cheeky say paytoplay health care chernobylized economy
3235,its actually complete nonsense
3236,brutal
3237,alternately smirking dully disgusting
3238,immediately screened schools across world shining example wrong american studio system increasingly dreadful junk produces
3239,repo men starts sly premise adds literally no worth thereafter
3240,picture instantly recalls worst  start
3241,repo men rare toronto plays itself also ive ever seen typewriter used lethal weapon
3242, forgive fects
3243,baldfaced ripoff terry gilliams brazil right nasty twist ending
3244,paranoid fantasy whats horizon macabre rumors obamacare ath panels true
3245,its mess many ways
3246, worst endings since bobby ewing stepped shower dallas
3247,an immensely feeble attempt sciencefiction action epic
3248,pressing bleak future shown repo men sense intriguing premise somewhere mess blood guts
3249,a frustratingly un yet sporadically electrifying scifi thriller
3250,unfortunately
3251,repo men sperately wants statement sure might be
3252,body future freakin stupid serve live
3253,not heard was plenty horror violence
3254,sperately wants seen socially relevant itll probably feel outdated time shows dvd
3255,while forest whirs conflicted thug brings languid menace
3256,law whir disastrous lead roles dreary violent betrays three years spent shelf
3257,action misses big chances here play absurdities premise comment corporate greed instead brutally violent staggeringly stupid
3258,though repo man unmistakably mess
3259,plot becomes predictable ending appears borrowed terry gilliams brazil cool clever would like think
3260, worst endings 
3261,overused homages tackedon twist ending failed attempts save repo men shallow blood lust
3262,if sapochnik garcia stuck ias guns
3263,you steal car steal handbag steal 
3264,straining social problem  statement unfortunately statement simplified feels almost insulting
3265,in directing torture porn
3266,perhaps quite torture porn unniably torture drama
3267, days brutal
3268,torture porn goes philosophical meditation emotional psychological toll vengeance
3269,torture porn feels generic worthy time full review spanish
3270,a risky
3271,daddy longlegs shock
3272,get bored half second put sleep
3273,theres no left hold attention prolonged misadventure loses lot due tardy screenplay
3274,austere grimly realistic
3275,sadness radiates authentically scene
3276,for horror
3277,crime jennifer lawrence actress list end year
3278,bleak hell yet stubbornly optimistic
3279,winters b sometimes feels like haunted house
3280,sobering unfailingly engrossing
3281,an extraordinary picturea chilling portrait
3282,grim backwoods tale s time building momentum
3283, often gets skin haunting authenticity
3284,director bra granik grace approach grim material rundown
3285,employs conventional amerindie template  ever feeling stale
3286,chilling woods dark
3287,serious
3288,genuine urgency conflict younger rees oldfashid ias family olr generations newfound awareness need abandon ials
3289,the way lawrence captures young womans fear resolve
3290,there hazard caricature here granik avoids it live people
3291,while winters b hardly exploits poor piction
3292,granik also manages viewers care characters think twice betraying families bucks be another hit
3293,its tough
3294,the darkness surrounds winters b almost overwhelms entire fortunately
3295,sound rarely heard voices portrait world forgotten except people live there
3296,the explores crushing poverty americas rural regions
3297,granik ftly creates thats suspenseful crime drama pitiless portrait part america thats usually ignored
3298,keeps authentic chilling
3299,its full mounting tensions atmosphere dread incipient terror uncomfortably familiar edge seat
3300,think like trash humpers offers insight crappy life poor south winters b see light
3301, come duller this
3302,chilling look american poverty
3303,chilling reflection natures darker si
3304,these spooky woods dangerous setting find sperate
3305,a tough tale survival harsh environment
3306,a southern teen navigates dangerous blood ties
3307,a eply naturalistic brand high lome noir
3308,winters b quiet snake chilling challenging visit remote perhaps alien world winters b anguish fear
3309,gripping graphically portrays poverty worst form violence life yearold heroine struggling save family
3310,bra graniks bleak  tough
3311,jennifer lawrence dazzling protagonist struggles uncover truth addict fathers disappearance
3312,in moments confrontation jennifer lawrences ree fearsome sigourney weaver aliens
3313, the also hits major poverty clich hard men
3314,this harsh 
3315,just think search going come frighteningly bloody conclusion
3316,call sucker punishment find drawn harrowing tales
3317,feel chill missouri winter dull ache characters poverty bra graniks 
3318,winters b haunting life america
3319,its harsh life hostile world
3320,glancing moments whole sequences agony social embarrassment want haul characters feet slap chops
3321,it would criminal
3322,kids right sudsy soap opera concoction lilac water spermatozoa lots wine whine
3323,slight bittersweet tale neurotic lesbian couple whose formerly anonymous sperm donor becomes potential home wrecker
3324,the kids right warm flawed people
3325,armed handful ftly drawn characters occasionally wicked sense humor
3326,problems like betrayal
3327,leaves lot table ponr might still unsure sex marriages work
3328,doesnt offer beyond rather pressing realization
3329,there soulful human lisa cholonkos kids right set apart pack merely human somewhat pressing
3330,critics wrong
3331,so tension quite translate gutsy finale
3332,if distractingly walltowall indie soundtrack mildly copout ending
3333, humor story
3334,this tricky material parse
3335,the dialog seems like pulled magazine full liberal clichés feels people used progressives
3336,were shown real life problems fictional story gives us real life solutions bravo lisa
3337,a certain smugness creeps corners kids right morality mean puritanism
3338,cant unrstand value finitely bland worthless full review spanish
3339,so almost gives fond memories tention
3340,when else fails
3341,its bit cru
3342,high school sucks harr blows
3343,high school suffers increasingly stagnant
3344,its high time high school graduate past weekend seeing hilarious high school hijinks ever
3345,n actors  impression stolen
3346, missing children stories combined less compelling effect sluggish thriller
3347,technically polished thriller marred textbook making grows increasingly dull plot wears on
3348,a graceless piece tragedy porn
3349, bit unpleasant slog might expect
3350,the lowboil mysterythriller stolen known boy box stolen lives
3351, poorly told story would  stolen 
3352,not masterpiece
3353,a lean murr mystery clunky structure swings back forth 
3354,gravely serious drama insular tomb muzak
3355,what dribbles series repetitive
3356,spectacularly boring chamber thriller
3357,strains wring tension tired premise airless script
3358,thrillers rely tensionbuilding within small group characters harr pull aspiring rs led believe look killing jar proof
3359, sense unpleasant
3360,bratts performance suggests subcutaneous rage give proceedings edge
3361,benjamin bratt brings agame difficult
3362,problem screenplay la mission g cameras condition
3363,fans original likely grown resigned disappointment scennts predators change entirely
3364,predator purists is oxymoron no fear worthy followup
3365,this story ath
3366,its dumb action summer full dumb 
3367,this big innovation hemingway reference creation different predator tribes involved gooey green blood feud biggest question is elite fighters waste ammunition sh
3368,its  fighting ath high tech thugs space
3369,often lazy somewhat tedious
3370,the dialogue dumber dirt
3371,this chaotic stew fire
3372,main suspense lies figuring orr theyll eliminated alive finale except really algorithms could predict 
3373,if plunk my ticket hoping see mindless carnage
3374,an unapologetically violent
3375,sad attempt rebooting already used storyline
3376,if people want annoyed irritating elements like plot
3377,you wince cheesy dialogue poor brody obliged mouth wonr actors laurence fishburne
3378,a cross dangerous game twilight z touch cube predators vs humans
3379,most sequels inferior original 
3380,after poor alien vs predator showings
3381,nowhere near thoughtful original
3382,adrien brody se toliko nabildao da je potpuno uvjerljiv kao mrcina koju biste voljeli imati na svojoj strani ako provod u narodnjačkom klubu krene po zlu
3383,forget predator alien vs predator rubbish sequel arniestarring s actir served
3384,real enemy exposition
3385, oldfashid action type eighties used churn regular basis
3386,i found predators amusing hell
3387,does predators live summer expectation violence
3388,john bneys irritatingly intrusive score tries bit hard evoke classic monster flicks instead evokes ed wood
3389,riots real show begins
3390,stwall uprising commits unfortunate revisionism person interviewed doc refocuses legendary civil disobedience stwall inn homogeneously white
3391,many witnesses offer emotional recollections ensuing riots
3392,for groundbreaking gay rebellion
3393,shines light struggle continues day
3394, soon forget abu jandal
3395,thoughtprovoking documentary toxic spinoffs alqaeda us war terror
3396,poitrass digs ep hints violently conflicting drives intelligent human liable to
3397,ep insi jandals world poitras goes striking given inherent cultural barriers danger faced female r shooting former al qaeda operative yemen
3398,poitras salient political points efficacy morality methods united states used used called global war terror
3399,a documentary start purports tale terrorists
3400,compelling drama indictment eight years folly known war terror
3401,poitras opened fascinating window minds people hate us
3402, many individual moments offers selection contradictory conflicting information lips abu jandal requires viewer come version truth
3403,a psychological thriller highlighting hell hath fury like frustrated knight shining armor
3404,as rules careful structures govern action go blaze real violence
3405,dudleys drunk act wears thin quickly
3406,unfortunately
3407,suffers hitandmiss quality wreaks havoc momentum
3408,that song stuck head days
3409, rare contemporary entertainments used contradict people habitually complain
3410,advocacy point propaganda
3411,extraordinary expose illustrating crying shame public schools inner cities generated point rely luck draw cent education
3412,theres mistaking morn racial sexual politics encod distinctly western elements carpenters lean
3413,assault precinct rived s popular crime genre
3414,urban oater reveals oldworld savagery chaos still thriving behind morn americas fragile veneer civilisation
3415,while carpenter cult classic feasted blaxploitation horror thriller mania moment back
3416,assault precint s powerful exercise mocracyis no short ages
3417,hopelessly violent exceedingly 
3418,in assault precinct 
3419,a seriously erratic early effort otherwise masterful r
3420,least carpenter sense gun old ladies
3421,asylum tries telling similar tales twice comes pathetically short scare partment
3422,not monster club
3423,oldschool camp craziness tallest feminine variety
3424,campy cult proves hell hath fury like foot woman scorned
3425,hell hath fury like scorned woman
3426,theres get excited unimaginative crime story
3427,unfortunately
3428,perhaps minutes sugary concoction borrs punishment
3429,ironic comical western pris taking horatio alger myth
3430, company excellent combines wry humor gritty action inpth characterizations youths lam civil war west
3431,presents anxiety
3432,ru funny
3433,rather put people races pressure cooker supply crap dialogue intend tread liberal
3434,stagy pacing woeful missteps cant change fact creepified horror classic
3435,leroys classic terrorizing tale ceptive linquent menacing motives match chillingly hypnotic seed savvy psychological seesaw carries structive mo brilliantly
3436, seed left taste
3437,the seed reflects slant magazines blind
3438,the influenced dozens evil children flicks
3439,scandalous
3440,its hard see fuss about
3441,the secret villain missing father say
3442,evil girl his murrous ways dated classic
3443,between harris director hancock handled difficult subject carried resorting cheap sentimentality
3444,low key character study baseball player dying niro
3445,unfortunately
3446, pressing 
3447,mention flick guy watch get weepy
3448,the material trite
3449,the baseball version brians song reduced tough guys tears
3450,gritty reenactment battle bulge
3451,picts handful men battle bulge realism hollywood muster
3452,if narrative weaknesses
3453,unduly slow pace repetitious use trick sets hurts chances 
3454,if act la belle et la bête showcases familial insecurity ferociousness
3455,whats mesmerising cocteaus seriousness regards fairytale material
3456,the third actis near riot action
3457,portrait introverted soul brought shell charms
3458,hamers new appealing trite
3459,s central metaphor seriously
3460,rouser almost incomplete passes stopped runs prece it
3461,speaks fantasies rectifying miss past drops ball satire small town foibles marital discord
3462,betrayed left turmoil
3463,riveting powerful portrait white supremacists virulent doctrine hate
3464,has lot serious flaws
3465,double tomlin midler cannot save silly doppelganger gimmickry
3466,fred ward plays dumb hicks lot
3467,overwhelming crime thriller
3468,lang cruelest
3469,a scalding facefull harsh reality
3470,brutal
3471, the big heat hard boiled
3472,director fritz lang problems high body count
3473,fast paced containing layers perverse savagery social commentary
3474,likely leave confused dissatisfied
3475,if any ever tries argument plot important any else cinema
3476,the plot bundle confusions
3477,the big sleep fresh perverse ever
3478,classic noir gem menace
3479,the plethora killings seems whole less horrific
3480,seriously
3481,folly lies fact marlowe finitive s character transplant eras climes
3482,birds textbook exercise taking simple story creating vastating 
3483,the birds effective horror 
3484,mr hitchcock associates constructed horror raise hackles courageous put goosepimples toughest hi
3485,alfred hitchcock could premise patently ridiculous birds come life try kill body construct beautifully realized thriller
3486, worst
3487,birds notable though turning some completely harmless incredible menace absolutely explanation
3488,unrestimated time
3489,genuinely disturbing thriller classic master suspense
3490,beneath elaborate feather bedlam lies hitch cockandbull story thats essentially fowl ball
3491,although horrifically shocking psycho
3492,classic hitchcock horror still gives chills
3493,hitchcock prolongs prelu horror half 
3494,riddled alarming moments primarily wanring dark hallways al
3495,horror started allnot missed
3496,perhaps frightening 
3497,a excursion bloody unknown
3498,editing butchered victims
3499,black christmas holiday classic builds horrors foundation kills us years later establishes tropes presents piction woman
3500,if ignore scientific problems
3501,s us way rim space bog us talky melodrama whipped mad scientists haunted houses
3502,let weak script
3503,sperately tries fuse disneys characteristic kiddie funtime japery star warsstyle action worldbuilding
3504,no brilliant
3505,dark haunting
3506,big stupid pile junk forward
3507,rather xenophobic tale american cops fighting japanese crime
3508,work me suspect constant awareness story important anybody it
3509,simply lived seen innocuous year blimp turned instrument ath
3510,unfortunately
3511,superabundantly produced terrorism thriller
3512,violence more onscreen aths poor substitute suspense
3513,plot childish narration cold impersonal full review spanish
3514,black widow interesting struggling escape fatal overload commercial consirations
3515,disappointing erotic thriller
3516,dated s crime drama nudity
3517,horrific datedworth seeing strictly historical standpoint
3518,sex farce flat characters trapped within s sensibilities
3519,comic possibilities where blind date
3520,hir miss
3521,the fact generates toward dull funk concluding moments rob unmatched pictorial beauty
3522,it features worst performances ever besmeer silver screen
3523,unfortunately
3524,dietrich brought role haunting combination freshness worldweariness
3525,cant hear falling love again many times
3526,though hopelessly dated todays standards
3527,it cruel seductive dietrich
3528,moments cinema truly horrible scene ruined professor shambles stage disreputable tavern
3529,emil jannings portrays role superbly surely finest examples tragic acting yet furnished screen
3530,prolific actor john carradines starring role horror favorite performance
3531,attack political system corrupted mild todays expand corrupt times
3532,judy holliday steals show dumb blon whose gangster boyfriend wants acquire culture
3533,pretty nasty stuff time
3534,for tries hard follow mass appeal format
3535,intriguing tale nazi war criminals cloning hitler
3536,the loses credibility ira levins potboiler
3537,its silly unbelievable pic 
3538,a dopey campy n seriously
3539,a mess
3540,doomed effort fails generate excitement either visually conceptually
3541,could worked efficiently script fail miserably either us feel close protagonists propose plot reach last minutes completely frayed full review spanish
3542,an absorbing disturbing look telepathic engineering spectacular payoff eply touches us
3543,incoherent prison escape 
3544,pryor appears selflete expletives brewsters millions making litany far offensive stepin fetchit facial expressions
3545,lame recycled flick wants arthur trading places isnt
3546,fortv eyewash disheartened bears fans drown sorrows in
3547,weepy story interracial pro football teammates
3548,less cynical souls weep buckets
3549,noble utterly heartbreaking
3550,haunting evocative mood  enhanced robert kraskers cinematography leans meticulous
3551,sheer perfectionthe gold standard tragic romances whose influence still seen day
3552,leans sad
3553, today would probably tawdry tasteless strikes right note
3554,broken blossoms director d w griffiths tragic
3555,love story center broken blossoms liberately overstuffed unmistakably colored infinite shas biting irony social critique
3556,mawkish victorian melodrama rises faults stylishly beautiful also brings real tragedy screen
3557,the acting memorable throughout douglas characteristically tense
3558,bug cidly poisonousit simply scary picture
3559,the sluggish direction jeannot szwarc keeps ts serious
3560,dumb
3561,the animals attack horror terrifically effective
3562, whoopis laziest vehicles  share
3563,moody realistic
3564,bus stop heavy corn syrup plays today relic lessevolved epoch
3565,taming shrew appears oddly pressing reimagined midcentury hick minstrel show
3566,amiable ingenious seems curmudgeonly get critical high horse
3567,george sidneys tacky musical fantasysatire elvis craze
3568,unfortunately
3569,any allergic highfructose corn syrup might stay away
3570,handsome look dull flat musical high caliber talent
3571, consired classic many disaster others im camp
3572, essentially killed old hollywood virtue boxoffice flop
3573,dreadfully boring romance classic garbo s french courtesan
3574,miss garbo interpreted marguerite gautier subtlety earned title
3575,garbo seems dying unspecified disease star power apparent actual illness issues plausibility
3576,miss garbo
3577,classic rge thriller
3578,keepyouupallnight terrifying
3579,unpleasant suspenseful noir
3580,clear virtually getgo cape fears success due almost entirely mitchums absolutely spellbinding turn vile antagonist
3581,the gets beats right situations alternate nervewracking infuriating horrifying
3582,its hard unrestimate impact time
3583,morn horror rs could learn some carnival souls harveys technique cru
3584,monstrates quality scary making directly proportional size budget
3585,cult classic would subtle yet meaningful influences horror genre cas come
3586,influential horror gem
3587, overrated horror
3588,mesmerising power carnival dancehall sequences far outweighs corniness awkward intimate scenes
3589,this original unsettling horror come america b saturated
3590,it retains atmosphere melancholic
3591,chilling ghost story artistic pretensions
3592,haunting ghost story
3593, unique horror low budget
3594,if characters horror watching old black white tv late night
3595, suspense dramatic tension plays like melodrama cheap exploitation
3596,high time young generation goers stop throwing my away see real horror is
3597,unlike examples horror genre
3598,horror classic sense
3599,horror classic might ultimate teen angst flick
3600, palmas classic creep show dark unrt nastiness teen spirit
3601,pure squeamish horror
3602,brian palmas carrie absolutely spellbinding horror also and  observant human portrait
3603,reason carrie still held high regard horror classic simple sheer directorial bravado palma top game
3604,stephen kings disturbing prom horror classic
3605,brian palma transcends pulpy horror feel emphasising awakeningsexuality metaphor
3606,voluptuously shot horror 
3607,terrifying awe inspiring rge 
3608, cautionary tale suggests fear unusual justifies action displace potential danger
3609,stephen kings book outlines world ringed abuse
3610,carrie add life scare
3611,the real horror carrie lie vengeful
3612,carries climactic empowerment tragedy triumph young woman trapped biblical regression secular comingout
3613,pino donaggios haunting score fines plight carrie white
3614,it opens insidiously brilliant update psychos shower scene ends jump scare hitchcock would envied
3615,still disturbing
3616,acting s theres weird stuff going here
3617,a any ever heartbreaking choice 
3618,sorry
3619,wars come go
3620,it product numerous accints
3621,the tensions
3622,while future uncertain
3623,no role wasted
3624,razor thin line funny stupid
3625,spoof went places james bond feared tread
3626,profoundly unamusing bore
3627, awful consiring wasted talents
3628,watching serious drag
3629,its sort reckless
3630, aspects farce vastly outweighed 
3631,mess casino royale hours el minutes non sequitur
3632,surrealisticly 
3633,chaotic astonishingly unfunny
3634,poor lost hall distorting mirrors
3635,propnts dreadfully indulgent cabaret
3636,i cannot recommend halfhearted manner insulting goers
3637,moodily shot
3638,corking melodrama mysterious fingers reach mouldy draperies steal jewels trick bookcases swallow unsuspecting victims
3639,mousetrap teeth grip musky atmosphere frustrated sex milky speration serves poisd bait
3640,although scope small personas largely disagreeable
3641,the result haunting subtle 
3642,as scary
3643,cat people lowbudget horror classic rko radio pictures
3644,highcontrast frightfest nervy lighting production sign maintained air dread
3645,see val lewton production rather see frightening
3646,ladies temptations straight horror pictures
3647, wondrous series b val lewton elaborated principle horrors imagined rather seen
3648,cat people frightening like slasher 
3649,more unreasoning fear supernatural
3650,weird drama thrillchill caliber
3651,unpleasant argues afraid people different
3652,tourneur splendidly visualizes immigrant dislocation marital anxiety spiritual states suspend planes light shadow
3653,scariest american horror s
3654,psychological horror finest timelessly terrifying absolutely purrfect
3655,cat peoples masterstroke lies constant awareness audience
3656,to think comfort strange call odd bpicture horror 
3657,cat people psychological horror 
3658,cat people rife subversive subtexts
3659,cat people monstrates monster shadows frightening
3660,although slowmoving pressing
3661,odd word 
3662,cat people s long time become horrifying
3663,no interesting
3664,schrars rather misogynistic confused intentions
3665,ludicrous
3666,an arthouse experiment g horribly wrong
3667,an appropriately strange beastpart moody
3668,cat people manage exhibit moments genius making intoxicating almost dreamlike atmosphere ultimately memorable albeit un exploration obsession
3669,schrar s seriously
3670,velopment plot irregular faulty anxiety female protagonist quite believable full review spanish
3671,admit it cried
3672,pointless update king vidors s weepie
3673,zeffirellis inferior re king vidors classic
3674,rudimentary boring melodrama full review spanish
3675,frank planers photography drama script begins tell story right titles continues compelling course grim
3676,whats going sort confused
3677,not single n seriously chara
3678,especially giddy paul lyns wry templeton rat
3679,loved book loses no transfer screen
3680,fairly cru animation
3681,hysterical
3682,problem checking provis us fears unrstand responses seem phd sitcom
3683,ooooooo scary kids go cornfields al 
3684,incredibly boring start finish
3685,dated look reminds us horror  camera buckets karo syrup marketable teen mols computergenerated effects
3686,classic stephen king horror
3687,acting special effects particularly painful watch
3688,the no sincere
3689,just tour force holiday agony
3690, rest measure opening
3691,consistently dull
3692,i see epic tragic scope cimarron going
3693,conclusion story least convincing
3694, yanceys admirable causes
3695,opulent empty
3696,the also dotted battle sequences nearly epic proportions
3697,for four hours moody
3698,sad say
3699,though owes shakespeares interpretation roman propaganda historical record
3700,the spectacular variety liabilities and
3701,a tale men manipulated
3702,the spectacular scenes confused oddly cule still
3703,gritty pressing portrait gang warfafre los angeles intractable urban problem
3704,colors solidly crafted piction current bigcity horrors succeeds largely robert duvallsean penn teaming frontline cops theyre terrific together members gang crime division lapd
3705,colors remains potent portrait futility regarding broken law enforcement system tends warp sire difference callous
3706,scary effective years
3707,see worry
3708,suspensefilled nailbiter plays fear weapon weidling psycho top
3709,audiences used faster pace today find talky half tough going
3710,medical thriller obvious authenticity crichton exploits suspense skill overlook farfetched nature premise
3711,so 
3712,pretty dumb
3713,big battle scenes especially disappointing
3714,violent guilty pleasure schwarzenegger estate
3715, joke backfires director
3716,unmotivated story riddled confusion disarray production staff job imagination
3717,might worth seeing acclaimed auteur wild bunch could also dreadful convoy
3718,noisy enjoyable struction rby 
3719, velopment confusing lacks concrete ias full review spanish
3720,the seems oddly unfocused
3721,solitary aim exploit viewers fear unknown
3722,creepy unrwater horror flick ahead time
3723,its horribly dated
3724, bigbudget musicfests mainly vil baseball it
3725,the damn yankees team
3726,the problem lies tab hunter difficult leading role put mildly
3727,dreadful soap opera 
3728,dangerous
3729,tantalizingly wicked watching color rise cheeks
3730,scintillating study sexual politics skillfully presents cruel ways malevolent protagonists manipulate targets ceive others around them
3731,wicked appointed
3732,emotional cruelty sexual manipulation rule game smooth transfer christopher hamptons witty play
3733,incisive study sex arena manipulative power games s long catch fire suffers ficient central performance
3734,evocation biological stiny wrenches mornistic romance tragedy
3735,darling empty meaning mind empty life exposing
3736,rather constipated ly dated brit new wave social satire 
3737,an interesting failure parts work
3738,excruciatingly embarrassing time
3739,disappointing third entry romeros ad trilogy
3740,day ad unquestionably controversial bated entry george a romeros unrivaled zombie trilogy
3741,the flawed series
3742, frosty pessimism mankinds future tually get skin
3743,it feels frustrated
3744, uneasy unnerving horror ever created
3745,largely missing primal horror  sharp satire second
3746,the years kind day ad
3747,less successful precessors day ad work example voyeuristic masochism full review spanish
3748,  period question cold war allegorical basis
3749,remains cut majority campy s brethren
3750, christ parable science fiction yet message livered less like sermon threat
3751,except fake ending
3752,grim
3753, overwhelming mand treat williamsjoe piscopo teamups
3754,a real stinker 
3755,disastrous attempt blending comedy horror
3756,that awkwardly conceived
3757,bleak crime melodrama complexly plotted 
3758, classical soundtrack turn ponrous portrait mans obsession cinematic classic often misn for
3759, get literary heart novel stumbling along curiously suffocating course
3760, ath venice long begins sink weight all
3761,ath venice occasionally suffers viscontis artistic overindulgence
3762, ath venice wordless
3763,it elects d absence emptiness
3764,ath salesman
3765,classic american tragedy
3766,its repetitive borrline pretentious
3767,lamberto bavas postmorn panmonium presents potential horror viewing unleash beast within
3768,an aged fiftysome humphrey bogart element snarling sperate fugitive
3769,although liberately created replicate dummy episo ad night
3770,warren really feels oats title gangster gruesome gripping true crime drama
3771,cliched post traumatic stress disorr
3772,its hard fault story poignant still relevant tale lost souls served exactly right setting
3773,when bland epics sir richard attenborough roland joffe long forgotten
3774,mr bolt reduced vast upheaval russian revolution banalities doomed romance
3775,dolls purposefully overthetop crazy
3776,a heartdriven horror 
3777,unable explore disturbingly misogynist unrcurrents tale
3778,dark ultimately disturbing 
3779,dr jekyll combines gothic horror
3780, inventive engaging retelling classic story
3781,horrible figure man personalities given fredric march opportunity shine full review spanish
3782,while unduly terrifying
3783,in middle frantic christmas season
3784,forget director ron howards illconceived
3785,when bela lugosi died buried wearing original silk capes forever cloaked
3786,the survives classic horror tale largely lugosis distinctive portrayal dracula
