,c1,sentiment_neg,sentiment_pos,sentiment_neu,sentiment_compound,sentiment
20382,film faithful letter f. scott fitzgerald's novel entirely misses spirit.,0.143,0.467,0.39,0.6105,positive
20383,"""it gets rather tedious watching people enjoy",0.0,0.348,0.652,0.4939,positive
20384,"""in sum picture total failure every requisite sensibility. long",0.31,0.0,0.69,-0.5563,negative
20385,"""[video essay] widely trashed cabal critics know good film saw",0.168,0.221,0.611,0.1779,positive
20386,'70s adaptation visually stunning emotionally distant.,0.0,0.342,0.658,0.3818,positive
20387,perhaps lack expectations caused pleasantly surprised.,0.223,0.485,0.291,0.4019,positive
20388,"""it great film: capturing much glimmer iridescence original",0.0,0.516,0.484,0.7506,positive
20389,"""clayton obsessed respecting story turns museum piece; see actors going paces dramatizing classic",0.107,0.201,0.692,0.3612,positive
20390,"""the folly film",0.0,0.0,1.0,0.0,neutral
20391,"""to short",0.0,0.0,1.0,0.0,neutral
20392,"""it's glittering",0.0,0.0,1.0,0.0,neutral
20393,,0.0,0.0,0.0,0.0,neutral
20394,"""it's highly inventive",0.0,0.0,1.0,0.0,neutral
20395,"""...a boisterous",0.0,0.0,1.0,0.0,neutral
20396,"""an amiable comedy full chase",0.0,0.385,0.615,0.3612,positive
20397,21-08-2002,0.0,0.0,1.0,0.0,neutral
20398,,0.0,0.0,0.0,0.0,neutral
20399,"""goofy overblown",0.0,0.0,1.0,0.0,neutral
20400,,0.0,0.0,0.0,0.0,neutral
20401,"""everything farce",0.73,0.0,0.27,-0.4019,negative
20402,26-06-2003,0.0,0.0,1.0,0.0,neutral
20403,,0.0,0.0,0.0,0.0,neutral
20404,great film one funny moments line stars.,0.0,0.583,0.417,0.7906,positive
20405,,0.0,0.0,0.0,0.0,neutral
20406,,0.0,0.0,0.0,0.0,neutral
20407,,0.0,0.0,0.0,0.0,neutral
20408,,0.0,0.0,0.0,0.0,neutral
20409,"""both panned praised released",0.0,0.516,0.484,0.4939,positive
20410,lemmon plays dirty throughout huge effect. curtis underplays equally comic effect. wood comes par two male stars.,0.137,0.203,0.66,0.1027,positive
20411,"""this one spectacular comedy star vehicles perfectly watchable wet sunday afternoon",0.0,0.427,0.573,0.7717,positive
20412,laughs aplenty! lemmon hilarious!,0.0,0.764,0.236,0.7568,positive
20413,perfect family movie fun beginning end.,0.0,0.636,0.364,0.7906,positive
20414,"""comedy masterpiece",0.0,1.0,0.0,0.765,positive
20415,monumentally epic disaster...,0.672,0.0,0.328,-0.6249,negative
20416,"""when first saw nco club vietnam war",0.394,0.0,0.606,-0.5994,negative
20417,,0.0,0.0,0.0,0.0,neutral
20418,,0.0,0.0,0.0,0.0,neutral
20419,"""simplicities right",0.0,0.0,1.0,0.0,neutral
20420,,0.0,0.0,0.0,0.0,neutral
20421,"""despised liberals day",0.574,0.0,0.426,-0.4019,negative
20422,"""if liked film",0.0,0.583,0.417,0.4215,positive
20423,,0.0,0.0,0.0,0.0,neutral
20424,"""...politics aside",0.0,0.0,1.0,0.0,neutral
20425,one first movies vietnam also one weakest preposterous right-wing agit-prop,0.268,0.0,0.732,-0.5106,negative
20426,john wayne fans - particularly fans war films - like movie chance see mix heavy artillery.,0.193,0.208,0.6,-0.1725,positive
20427,green berets simply film war vietnam. offensive oppose american policy even support it.,0.352,0.138,0.51,-0.6369,negative
20428,movie archaic dangerous effect audience.,0.437,0.0,0.563,-0.4767,negative
20429,silly jaws knock-off,0.0,0.355,0.645,0.0258,positive
20430,"""grizzly",0.0,0.0,1.0,0.0,neutral
20431,"""""""grizzly"""" clumsily plotted",0.0,0.0,1.0,0.0,neutral
20432,,0.0,0.0,0.0,0.0,neutral
20433,serviceable jaws ripoff perfect '70s drive-in fare.,0.0,0.381,0.619,0.5719,positive
20434,"""as drive-in-level guilty pleasure obvious brainless variety",0.243,0.322,0.435,0.2263,positive
20435,"""marked rip-off spielberg's classic jaws",0.0,0.0,1.0,0.0,neutral
20436,meager plot follows bear lumbers slicing tourists--and get picnic baskets--pursued heroic forest ranger (george) naturalist (jaeckel).,0.0,0.194,0.806,0.5574,positive
20437,"""""""grizzly"""" finds footing introductions made",0.0,0.0,1.0,0.0,neutral
20438,"""at least film gall include small child bear's rampage",0.0,0.0,1.0,0.0,neutral
20439,high-class soap opera eight women graduates 1933 vassar.,0.0,0.0,1.0,0.0,neutral
20440,,0.0,0.0,0.0,0.0,neutral
20441,"""by modern standards",0.0,0.0,1.0,0.0,neutral
20442,all-female society emerges simply sinister; lumet never shows expectations women tragically unfulfilled. either understand else group one big put-down women's colleges.,0.366,0.0,0.634,-0.886,negative
20443,sidney lumet's film rushed whirlwind offered us unimaginative way. [full review spanish],0.0,0.0,1.0,0.0,neutral
20444,,0.0,0.0,0.0,0.0,neutral
20445,21-08-2002,0.0,0.0,1.0,0.0,neutral
20446,classic early animation.,0.0,0.0,1.0,0.0,neutral
20447,,0.0,0.0,0.0,0.0,neutral
20448,cheesy well-drawn,0.0,0.0,1.0,0.0,neutral
20449,,0.0,0.0,0.0,0.0,neutral
20450,"""...most notable signature fleischer touches: comic violence; irritable",0.545,0.0,0.455,-0.802,negative
20451,paramount's uneven attempt challenge disney feature-length animation department.,0.0,0.157,0.843,0.0772,positive
20452,"""it make masterpiece",0.0,0.672,0.328,0.6249,positive
20453,"""very impressive",0.0,0.782,0.218,0.5563,positive
20454,classic 1930s animated tale. fine kids.,0.0,0.265,0.735,0.2023,positive
20455,"""dated animated adaptation",0.0,0.0,1.0,0.0,neutral
20456,"""the film delight wonderfully executed physical point view lilliputians",0.0,0.527,0.473,0.8316,positive
20457,,0.0,0.0,0.0,0.0,neutral
20458,,0.0,0.0,0.0,0.0,neutral
20459,,0.0,0.0,0.0,0.0,neutral
20460,,0.0,0.0,0.0,0.0,neutral
20461,,0.0,0.0,0.0,0.0,neutral
20462,"""henry king's",0.0,0.0,1.0,0.0,neutral
20463,gregory peck top form johnny ringo henry koster's brooding psychological western doomed gunslinger wants lay guns down.,0.199,0.137,0.664,-0.5106,negative
20464,good movie consequences choices.,0.0,0.492,0.508,0.4404,positive
20465,seminal western superbly directed restraint henry king.,0.0,0.0,1.0,0.0,neutral
20466,"""it's expertly assembled classic western fodder",0.0,0.0,1.0,0.0,neutral
20467,"""""""the gunfighter"""" early example new style dark",0.0,0.0,1.0,0.0,neutral
20468,one best westerns 1950s - decade replete magnificent westerns.,0.0,0.536,0.464,0.8442,positive
20469,"""a disappointment",0.767,0.0,0.233,-0.5106,negative
20470,"""check tell still stands up. keaton's performance aside",0.0,0.0,1.0,0.0,neutral
20471,ron howard much business lamenting death rust belt russ meyer adapting shakespeare -- shows.,0.365,0.0,0.635,-0.7845,negative
20472,29-12-2002,0.0,0.0,1.0,0.0,neutral
20473,"""the stereotypes broad comfort",0.0,0.455,0.545,0.3612,positive
20474,,0.0,0.0,0.0,0.0,neutral
20475,"""it's cheerful funny",0.0,0.865,0.135,0.7506,positive
20476,"""howard appears learnt surprisingly little comic timing long tenure happy days",0.0,0.396,0.604,0.7096,positive
20477,30-05-2003,0.0,0.0,1.0,0.0,neutral
20478,,0.0,0.0,0.0,0.0,neutral
20479,,0.0,0.0,0.0,0.0,neutral
20480,delivers plenty laughs cross-cultural insights drama contrast american japanese attitudes toward work.,0.0,0.225,0.775,0.4939,positive
20481,,0.0,0.0,0.0,0.0,neutral
20482,,0.0,0.0,0.0,0.0,neutral
20483,,0.0,0.0,0.0,0.0,neutral
20484,,0.0,0.0,0.0,0.0,neutral
20485,"""the hero",0.0,0.783,0.217,0.5574,positive
20486,"""drawn real life",0.0,0.0,1.0,0.0,neutral
20487,"""keaton lovable",0.0,0.8,0.2,0.6124,positive
20488,"""its tone swings violently pratfall preachment",0.432,0.0,0.568,-0.5859,negative
20489,"""by end",0.0,0.0,1.0,0.0,neutral
20490,,0.0,0.0,0.0,0.0,neutral
20491,annoying musical.,0.73,0.0,0.27,-0.4019,negative
20492,,0.0,0.0,0.0,0.0,neutral
20493,lavish old-school movie musical.,0.0,0.0,1.0,0.0,neutral
20494,,0.0,0.0,0.0,0.0,neutral
20495,,0.0,0.0,0.0,0.0,neutral
20496,,0.0,0.0,0.0,0.0,neutral
20497,,0.0,0.0,0.0,0.0,neutral
20498,entertaining adaptation broadway musical.,0.0,0.492,0.508,0.4404,positive
20499,bloated musical far great like average.,0.0,0.623,0.377,0.765,positive
20500,"""mervyn leroy's screen version popular musical passably entertaining",0.0,0.487,0.513,0.6908,positive
20501,"""you'll swell",0.0,0.0,1.0,0.0,neutral
20502,"""even quite running cylinders",0.0,0.0,1.0,0.0,neutral
20503,rosalind russell strenuously overacts central role backstage mama whose tenacity tigerish.,0.0,0.0,1.0,0.0,neutral
20504,"""the movie bubble-headed series teenage crises crushes",0.326,0.0,0.674,-0.4404,negative
20505,"""waters writes warmth caricatures",0.0,0.5,0.5,0.4588,positive
20506,"""hairspray represents more-mainstream john waters fare",0.0,0.0,1.0,0.0,neutral
20507,"""the world coming end: cracks forming earth's surface",0.0,0.0,1.0,0.0,neutral
20508,"""it's exactly malcolm x",0.0,0.0,1.0,0.0,neutral
20509,lots people use hairspray tend lay real thick. one spritz aerosol never enough.,0.0,0.0,1.0,0.0,neutral
20510,"""hairspray might tame director's standards",0.0,0.0,1.0,0.0,neutral
20511,,0.0,0.0,0.0,0.0,neutral
20512,26-07-2002,0.0,0.0,1.0,0.0,neutral
20513,waters' accessible bout cinematic insanity.,0.481,0.0,0.519,-0.5719,negative
20514,26-08-2002,0.0,0.0,1.0,0.0,neutral
20515,07-10-2002,0.0,0.0,1.0,0.0,neutral
20516,,0.0,0.0,0.0,0.0,neutral
20517,,0.0,0.0,0.0,0.0,neutral
20518,,0.0,0.0,0.0,0.0,neutral
20519,"""a perfect mixture old trashy waters new kinder",0.0,0.535,0.465,0.7845,positive
20520,"""the actors best avoid exaggeration remain weirdly sincere. way",0.27,0.423,0.307,0.5423,positive
20521,,0.0,0.0,0.0,0.0,neutral
20522,john waters classic,0.0,0.0,1.0,0.0,neutral
20523,,0.0,0.0,0.0,0.0,neutral
20524,zany delight.....lake outstanding!,0.0,0.682,0.318,0.6476,positive
20525,defining moment auteur's career-long dedication lionizing baltimore's misfit population.,0.0,0.0,1.0,0.0,neutral
20526,,0.0,0.0,0.0,0.0,neutral
20527,"""certainly waters would argue films end upbeat note. [hairspray] first time joy seems genuine",0.122,0.316,0.561,0.5859,positive
20528,"""fun",0.0,1.0,0.0,0.5106,positive
20529,waters' hygienically commercial film retro schlock-fancier's delight.,0.0,0.394,0.606,0.5994,positive
20530,"""one john waters' best films",0.0,0.512,0.488,0.6369,positive
20531,"""john waters' appreciation tacky side life full flower hairspray",0.0,0.292,0.708,0.5106,positive
20532,"""has great message endlessly entertaining",0.0,0.7,0.3,0.7906,positive
20533,thoroughly deserving cult status.,0.0,0.0,1.0,0.0,neutral
20534,"""controversial filmmaker john waters finally hits commercial stride film",0.184,0.0,0.816,-0.2023,negative
20535,"""not waters's best movie",0.529,0.0,0.471,-0.5216,negative
20536,"""the waters film grandma",0.0,0.0,1.0,0.0,neutral
20537,,0.0,0.0,0.0,0.0,neutral
20538,"""when divine's edna turnblad on-screen sleeveless dresses partial",0.0,0.0,1.0,0.0,neutral
20539,"""the shock waters's cinema offers",0.394,0.0,0.606,-0.3818,negative
20540,kitschy teen fantasy dance to.,0.0,0.0,1.0,0.0,neutral
20541,"""while corny design",0.0,0.0,1.0,0.0,neutral
20542,perhaps waters' best known movie.,0.0,0.512,0.488,0.6369,positive
20543,"""waters tones usual excesses",0.0,0.0,1.0,0.0,neutral
20544,"""it absurd jolly",0.0,0.623,0.377,0.5106,positive
20545,"""the kitsch delight",0.0,0.661,0.339,0.5994,positive
20546,"""halloween (1978) genuinely scary",0.516,0.0,0.484,-0.4939,negative
20547,"""considered many modern horror classic",0.481,0.0,0.519,-0.5719,negative
20548,"""responsible jump-starting jamie lee curtis's career",0.0,0.315,0.685,0.3182,positive
20549,perfect entertainment night october 31st year.,0.0,0.619,0.381,0.7579,positive
20550,boring. scary. there. said it.,0.647,0.0,0.353,-0.6705,negative
20551,"""if seen network television years",0.0,0.0,1.0,0.0,neutral
20552,halloween remains untouched -- modern classic horrific kind.,0.319,0.246,0.435,-0.25,negative
20553,"""flawless is: completely immersive",0.0,0.524,0.476,0.5106,positive
20554,significant triumph halloween achieves measured bulk films follow emulate it.,0.0,0.38,0.62,0.5994,positive
20555,one successful indie forays slasher/horror film genre.,0.0,0.388,0.612,0.5859,positive
20556,"""arguably",1.0,0.0,0.0,-0.25,negative
20557,02-02-2003,0.0,0.0,1.0,0.0,neutral
20558,"""they broken mold released halloween",0.437,0.0,0.563,-0.4767,negative
20559,real trick treat. genuinely creepy stuff.,0.152,0.342,0.506,0.3612,positive
20560,27-03-2003,0.0,0.0,1.0,0.0,neutral
20561,,0.0,0.0,0.0,0.0,neutral
20562,"""very possibly seminal seventies film--not godfather",0.0,0.0,1.0,0.0,neutral
20563,"""since precious little character plot development pass time stalking sequences",0.0,0.291,0.709,0.5719,positive
20564,,0.0,0.0,0.0,0.0,neutral
20565,"""it's freaking scary. recent viewing",0.667,0.0,0.333,-0.7184,negative
20566,,0.0,0.0,0.0,0.0,neutral
20567,"""even repeated viewings",0.0,0.0,1.0,0.0,neutral
20568,"""it's hard get behind main character who's unexciting. maybe michael myers real main character. case",0.091,0.0,0.909,-0.1027,negative
20569,12-09-2004,0.0,0.0,1.0,0.0,neutral
20570,"""halloween absolutely merciless thriller",0.0,0.359,0.641,0.1725,positive
20571,one scariest movies ever made.,0.0,0.0,1.0,0.0,neutral
20572,"""halloween brilliantly uses widescreen frame",0.0,0.5,0.5,0.6124,positive
20573,"""one best horror films ever made. john carpenter deserves medal effective build-up suspense",0.16,0.45,0.39,0.7717,positive
20574,"""if donald pleasance tells something important",0.0,0.265,0.735,0.2023,positive
20575,"""perhaps quite resonant psycho pays due homage",0.0,0.0,1.0,0.0,neutral
20576,modern horror classic.,0.649,0.0,0.351,-0.5719,negative
20577,"""after promising opening",0.0,0.574,0.426,0.4019,positive
20578,"""regardless silly think",0.0,0.355,0.645,0.0258,positive
20579,"""john carpenter's 1978 tour de force",0.0,0.0,1.0,0.0,neutral
20580,"""the film hits us level deeper slasher films",0.0,0.0,1.0,0.0,neutral
20581,movie repressed; hitchcock would admired way carpenter artfully avoids explicit bloodshed.,0.261,0.216,0.523,0.0772,negative
20582,john carpenter debra hill's film genuine landmark horror-thriller genre.,0.0,0.14,0.86,0.0772,positive
20583,"""virtually perfect. one horror film would beg every lover movies watch",0.193,0.391,0.417,0.5859,positive
20584,"""who could predicted low-budget pic halloween would profound influence industry",0.0,0.0,1.0,0.0,neutral
20585,"""to call halloween merely brilliant giving enough credit. horror film historical milestone single-handedly shaped altered future entire genre",0.14,0.332,0.528,0.6249,positive
20586,"""... except shamelessly (and irresistibly) zingy music score (by director)",0.211,0.0,0.789,-0.34,negative
20587,seminal slasher gets better age.,0.0,0.42,0.58,0.4404,positive
20588,first michael myers slasher fest kids.,0.0,0.0,1.0,0.0,neutral
20589,"""... there's one john carpenter film must-see",0.0,0.0,1.0,0.0,neutral
20590,"""made tiny budget $300",0.0,0.0,1.0,0.0,neutral
20591,well worth another look big screen.,0.0,0.5,0.5,0.4588,positive
20592,[a] simple horribly effective low-budget suburban horror ...,0.467,0.204,0.329,-0.6124,negative
20593,still relevant. still scary. make date halloween night witness cinema's scariest michael myers (unless seen love guru) causing carnage big screen.,0.121,0.159,0.72,0.25,positive
20594,halloween still remains greatest horror film time.,0.287,0.326,0.388,0.128,positive
20595,sets standard slasher films horror general...,0.425,0.0,0.575,-0.5719,negative
20596,carpenter obviously knows genre well builds properly terrifying atmosphere well-paced direction. effective entry intended market.,0.177,0.249,0.574,0.128,positive
20597,"""why halloween works even minute flaws",0.0,0.0,1.0,0.0,neutral
20598,"""a movie laid foundation slasher films also created one legendary film history psychopaths",0.0,0.143,0.857,0.25,positive
20599,"""narratively anemic - earns hosannas primarily terms atmosphere performances",0.0,0.0,1.0,0.0,neutral
20600,likely full appreciative stunning movie halloween is.,0.0,0.554,0.446,0.7351,positive
20601,"""the horror genre often (rightfully) maligned. many films within genre cheap exploitation films",0.236,0.0,0.764,-0.5719,negative
20602,still creepy hell.,0.697,0.0,0.303,-0.6808,negative
20603,filmmaker carpenter certainly effective job immediately drawing viewer proceedings...,0.0,0.44,0.56,0.6705,positive
20604,...most compelling metaphorical manifestation laurie strode's sexual fears.,0.255,0.199,0.546,-0.1548,negative
20605,what's crucial laurie survives virgin; virgin still almost survive.,0.0,0.0,1.0,0.0,neutral
20606,"""four decades",0.0,0.0,1.0,0.0,neutral
20607,"""in horror",0.787,0.0,0.213,-0.5719,negative
20608,"""carpenter's 1978 slasher classic inspired million imitations well sequels",0.0,0.431,0.569,0.6486,positive
20609,halloween ensuing american nightmare. national boogeyman.,0.0,0.0,1.0,0.0,neutral
20610,beginning franchise masterpiece horror every aspiring filmmaker see. [full review spanish],0.22,0.244,0.536,0.1027,positive
20611,"""not gold standard american horror",0.481,0.0,0.519,-0.5719,negative
20612,"""on one hand",0.0,0.615,0.385,0.4939,positive
20613,"""the quintessential popcorn horror film",0.481,0.0,0.519,-0.5719,negative
20614,"""aside ideas presented movie",0.0,0.0,1.0,0.0,neutral
20615,"""one first",0.0,0.0,1.0,0.0,neutral
20616,halloween remains one frightening films ever released.,0.348,0.0,0.652,-0.4939,negative
20617,recognize good filmmaking that's,0.0,0.492,0.508,0.4404,positive
20618,olivier's direction film inspired.,0.0,0.516,0.484,0.4939,positive
20619,"""while know olivier's best (i'm inclined go branagh's)",0.0,0.375,0.625,0.6369,positive
20620,"""a bold",0.0,0.722,0.278,0.3818,positive
20621,"""[hamlet] attains pinnacle perfection performances",0.0,0.481,0.519,0.5719,positive
20622,28-02-2002,0.0,0.0,1.0,0.0,neutral
20623,,0.0,0.0,0.0,0.0,neutral
20624,,0.0,0.0,0.0,0.0,neutral
20625,"""if want study shakespeare",0.0,0.302,0.698,0.0772,positive
20626,23-10-2002,0.0,0.0,1.0,0.0,neutral
20627,best ever adaptation shakespeare's best ever play. olivier mesmerising.,0.0,0.643,0.357,0.8957,positive
20628,,0.0,0.0,0.0,0.0,neutral
20629,,0.0,0.0,0.0,0.0,neutral
20630,"""of four versions hamlet i've seen",0.0,0.0,1.0,0.0,neutral
20631,,0.0,0.0,0.0,0.0,neutral
20632,valuable classic.,0.0,0.756,0.244,0.4767,positive
20633,"""done different style henry v",0.0,0.0,1.0,0.0,neutral
20634,"""olivier's hamlet terrific watch performance great",0.0,0.643,0.357,0.802,positive
20635,matter settled; filmed hamlet laurence olivier gives absolute proof classics magnificiently suited screen.,0.0,0.084,0.916,0.0258,positive
20636,"""olivier always felt different hamlet essay",0.0,0.0,1.0,0.0,neutral
20637,"""laurence olivier's famous 1948 interpretation shakespeare's play suffers slightly pop-freud approach character excessively flashy",0.177,0.137,0.686,-0.1779,negative
20638,one best versions bard's.,0.0,0.583,0.417,0.6369,positive
20639,olivier's classic personalised version troubled prince denmark still highly atmospheric intriguing.,0.231,0.0,0.769,-0.4588,negative
20640,"""hamlet filmed many times",0.0,0.0,1.0,0.0,neutral
20641,"""despite winning several oscars",0.481,0.0,0.519,-0.4168,negative
20642,"""this picture-making best",0.0,0.677,0.323,0.6369,positive
20643,sir laurence olivier's masterful version classic.,0.0,0.0,1.0,0.0,neutral
20644,"""a solid rendition classic play",0.0,0.571,0.429,0.4588,positive
20645,02-10-2013,0.0,0.0,1.0,0.0,neutral
20646,laurence olivier directed stars astonishing shakespeare adaptation.,0.0,0.0,1.0,0.0,neutral
20647,"""[the film] shows range imagination artistic integrity belong sir laurence olivier's work producer",0.0,0.178,0.822,0.3818,positive
20648,"""altogether hamlet one impressive films ever made",0.0,0.355,0.645,0.5106,positive
20649,"""olivier strikes balance hamlet brooding indecisive human hamlet funny",0.333,0.296,0.37,-0.128,negative
20650,"""sir laurence olivier's presentation hamlet proves possible translate shakespeare photographic terms without losing full flavour",0.0,0.135,0.865,0.2924,positive
20651,brilliance olivier done hamlet almost sweeps us forgetting done it.,0.0,0.302,0.698,0.5994,positive
20652,"""its alliance literature",0.0,0.0,1.0,0.0,neutral
20653,"""add sir laurence hamlet cast equal role",0.0,0.0,1.0,0.0,neutral
20654,"""olivier brings everything hamlet",0.0,0.0,1.0,0.0,neutral
20655,olivier's classic shakespeare tragedy themes revenge.,0.661,0.0,0.339,-0.8316,negative
20656,less expressionist film noir version play.,0.0,0.324,0.676,0.34,positive
20657,striking achievement actor/director would continue helm star shakespeare's works.,0.0,0.0,1.0,0.0,neutral
20658,,0.0,0.0,0.0,0.0,neutral
20659,15-10-2003,0.0,0.0,1.0,0.0,neutral
20660,"""mr. stone's screenplay tightly written",0.0,0.0,1.0,0.0,neutral
20661,,0.0,0.0,0.0,0.0,neutral
20662,17-07-2005,0.0,0.0,1.0,0.0,neutral
20663,inescapably cheesy.,0.0,0.0,1.0,0.0,neutral
20664,,0.0,0.0,0.0,0.0,neutral
20665,increasingly interminable misfire...,0.0,0.0,1.0,0.0,neutral
20666,"""the hand film without surprises",0.212,0.407,0.381,0.3682,positive
20667,,0.0,0.0,0.0,0.0,neutral
20668,,0.0,0.0,0.0,0.0,neutral
20669,,0.0,0.0,0.0,0.0,neutral
20670,04-07-2004,0.0,0.0,1.0,0.0,neutral
20671,"""a powerful",0.0,0.737,0.263,0.4215,positive
20672,,0.0,0.0,0.0,0.0,neutral
20673,"""walter hill's first film director spare",0.0,0.0,1.0,0.0,neutral
20674,rough grim knuckle-fighting drama headlining charles bronson.,0.381,0.0,0.619,-0.5719,negative
20675,,0.0,0.0,0.0,0.0,neutral
20676,production handsome mid-1930s new orleans period flavour cast can't lick script.,0.0,0.242,0.758,0.4939,positive
20677,evocatively atmospheric.,0.0,0.0,1.0,0.0,neutral
20678,"""[t]here's much admire",0.0,0.608,0.392,0.4767,positive
20679,"""hard times still enjoyable film",0.192,0.397,0.411,0.3612,positive
20680,,0.0,0.0,0.0,0.0,neutral
20681,,0.0,0.0,0.0,0.0,neutral
20682,21-08-2002,0.0,0.0,1.0,0.0,neutral
20683,,0.0,0.0,0.0,0.0,neutral
20684,,0.0,0.0,0.0,0.0,neutral
20685,,0.0,0.0,0.0,0.0,neutral
20686,scott gives terrific performance,0.0,0.508,0.492,0.4767,positive
20687,hardcore vivid convincing parable dangers spiritual pride.,0.26,0.415,0.325,0.2263,positive
20688,strong internal drama.,0.0,0.623,0.377,0.5106,positive
20689,schrader;s gritty nyc runaway thriller.,0.0,0.259,0.741,0.1027,positive
20690,"""though hardcore's so-called gritty images power disturb",0.31,0.0,0.69,-0.4019,negative
20691,"""hardcore",0.0,0.0,1.0,0.0,neutral
20692,"""a big throbbing stress-headache movie",0.0,0.0,1.0,0.0,neutral
20693,,0.0,0.0,0.0,0.0,neutral
20694,04-08-2005,0.0,0.0,1.0,0.0,neutral
20695,,0.0,0.0,0.0,0.0,neutral
20696,,0.0,0.0,0.0,0.0,neutral
20697,,0.0,0.0,0.0,0.0,neutral
20698,hardcore softcore porn film needed hardcore street cred believable investigative film porn industry.,0.0,0.0,1.0,0.0,neutral
20699,"""hardcore mess",0.714,0.0,0.286,-0.3612,negative
20700,"""although flawed trope-filled ending",0.508,0.0,0.492,-0.4767,negative
20701,"""despite subject",0.0,0.0,1.0,0.0,neutral
20702,movie nothing word game designed impress public interested depraved industrialized sex. [full review spanish],0.0,0.318,0.682,0.6808,positive
20703,...a compelling often shocking drama also succeeds time capsule specific time place.,0.161,0.304,0.536,0.34,positive
20704,"""the motion picture industry exploited women many years",0.3,0.0,0.7,-0.4588,negative
20705,"""both [rod] steiger [humphrey] bogart deliver outstanding performances",0.0,0.364,0.636,0.6124,positive
20706,,0.0,0.0,0.0,0.0,neutral
20707,"""even film everyone seems end loser",0.405,0.0,0.595,-0.5267,negative
20708,"""the unwell bogie's last film knockout",0.0,0.0,1.0,0.0,neutral
20709,,0.0,0.0,0.0,0.0,neutral
20710,"""fairly gritty potent time",0.0,0.0,1.0,0.0,neutral
20711,"""o ltimo filme de bogie traz veterano em mais uma tima atuao (ainda que steiger quase roube show) e suficientemente ambicioso",0.0,0.0,1.0,0.0,neutral
20712,,0.0,0.0,0.0,0.0,neutral
20713,hard-punching boxing-business picture... comes swinging beginning stop end.,0.239,0.0,0.761,-0.296,negative
20714,"""in noir sports melodrama",0.0,0.0,1.0,0.0,neutral
20715,"""honored greatest male star history american cinema american film institute",0.0,0.5,0.5,0.8402,positive
20716,lousy racket lurking around prize fighting arenas country depicted one gripping films come hollywood crucible.,0.344,0.151,0.505,-0.4939,negative
20717,"""it put sleep -- harris's constant",0.0,0.0,1.0,0.0,neutral
20718,might lot answers end find various scenes stay long movie over.,0.0,0.0,1.0,0.0,neutral
20719,"""the first response """"what's good haunted house movie?""""""",0.258,0.242,0.5,-0.0516,negative
20720,,0.0,0.0,0.0,0.0,neutral
20721,one all-time creepy classics. miss it.,0.242,0.0,0.758,-0.1531,negative
20722,"""the haunting wisely sophisticated horror film implication",0.382,0.421,0.197,0.1531,positive
20723,01-12-2002,0.0,0.0,1.0,0.0,neutral
20724,06-02-2003,0.0,0.0,1.0,0.0,neutral
20725,"""spooky atmospheric haunted house film",0.437,0.0,0.563,-0.4767,negative
20726,waste time remake. robert wise's original film one see still chilling years.,0.257,0.151,0.592,-0.1531,negative
20727,...it's see haunting makes scary.,0.639,0.0,0.361,-0.6486,negative
20728,say wise's haunting better de bont's haunting damns wise picture faint praise fear deserves.,0.39,0.353,0.257,-0.0,negative
20729,one best haunted-house movies ever. spooky.,0.0,0.457,0.543,0.6369,positive
20730,,0.0,0.0,0.0,0.0,neutral
20731,,0.0,0.0,0.0,0.0,neutral
20732,,0.0,0.0,0.0,0.0,neutral
20733,,0.0,0.0,0.0,0.0,neutral
20734,scariest movie day,0.0,0.0,1.0,0.0,neutral
20735,,0.0,0.0,0.0,0.0,neutral
20736,"""ghosts! unseen",0.0,0.0,1.0,0.0,neutral
20737,filmmakers drawn fright nothingness adeptly robert wise,0.243,0.29,0.467,0.128,positive
20738,makes goose pimples sense.,0.0,0.0,1.0,0.0,neutral
20739,...easily ranks among finest supernatural suspense films ever made.,0.0,0.231,0.769,0.34,positive
20740,"""what makes film effective much slightly sinister characterisation generally neurotic group",0.351,0.181,0.468,-0.4417,negative
20741,knows draw fright haunted house story.,0.588,0.0,0.412,-0.6908,negative
20742,18-02-2007,0.0,0.0,1.0,0.0,neutral
20743,"""properly creepy",0.0,0.0,1.0,0.0,neutral
20744,artful cinematic strokes director robert wise staff quite enough override major shortcomings nelson gidding's screenplay.,0.0,0.181,0.819,0.4767,positive
20745,undeniably effective adaptation shirley jackson novel remains one best haunted-house movies.,0.0,0.545,0.455,0.8625,positive
20746,"""pretty effective came out; may little stiff joints",0.0,0.512,0.488,0.743,positive
20747,"""people stare terror squeak: 'the house",0.405,0.0,0.595,-0.5267,negative
20748,"""a dark brooding atmosphere",0.0,0.268,0.732,0.0258,positive
20749,horror remains admirably attuned sense solitude premature spinster,0.28,0.265,0.455,-0.0516,negative
20750,"""borderline perfect... strip away frightening elements",0.294,0.339,0.367,0.128,positive
20751,,0.0,0.0,0.0,0.0,neutral
20752,one best supernatural chillers ever made.,0.0,0.457,0.543,0.6369,positive
20753,"""...one fascinating aspects haunting multiple interpretations available many events",0.167,0.278,0.556,0.34,positive
20754,"""for possible overuse internal monologues julie harris' overwrought riveting performance eleanor",0.0,0.0,1.0,0.0,neutral
20755,"""when haunting digs internals story",0.344,0.0,0.656,-0.2732,negative
20756,"""wise brilliantly uses black white widescreen strand characters odd-shaped rooms corridors",0.0,0.441,0.559,0.7964,positive
20757,"""[hill] fights losing battle keep sprawling story check",0.612,0.0,0.388,-0.7845,negative
